New York Knicks,New York,NYK,nyknicks,America/New_York,Atlantic,East
Los Angeles Lakers,LA Lakers,LAL,lakers,America/Los_Angeles,Pacific,West
Memphis Grizzlies,Memphis,MEM,memphisgrizzlies,US/Central,Southwest,West
Toronto Raptors,Toronto,TOR,torontoraptors,America/Toronto,Atlantic,East
San Antonio Spurs,San Antonio,SAS,nbaspurs,US/Central,Southwest,West
Houston Rockets,Houston,HOU,rockets,US/Central,Southwest,West
Detroit Pistons,Detroit,DET,detroitpistons,US/Eastern,Central,East
Boston Celtics,Boston,BOS,bostonceltics,US/Eastern,Atlantic,East
Miami Heat,Miami,MIA,heat,US/Eastern,Southeast,East
Orlando Magic,Orlando,ORL,orlandomagic,US/Eastern,Southeast,East
Portland Trail Blazers,Portland,POR,ripcity,US/Pacific,Northwest,West
Golden State Warriors,Golden State,GSW,warriors,US/Pacific,Pacific,West
Chicago Bulls,Chicago,CHI,chicagobulls,America/Chicago,Central,East
Washington Wizards,Washington,WAS,washingtonwizards,US/Eastern,Southeast,East
Dallas Mavericks,Dallas,DAL,mavericks,US/Central,Southwest,West
Minnesota Timberwolves,Minnesota,MIN,timberwolves,US/Central,Northwest,West
Los Angeles Clippers,LA Clippers,LAC,laclippers,America/Los_Angeles,Pacific,West
Oklahoma City Thunder,Oklahoma City,OKC,thunder,US/Central,Northwest,West
Milwaukee Bucks,Milwaukee,MIL,mkebucks,US/Central,Central,East
New Orleans Hornets,New Orleans,NOP,nolapelicans,US/Central,Southwest,West
New Orleans Pelicans,New Orleans,NOP,nolapelicans,US/Central,Southwest,West
Charlotte Bobcats,Charlotte,CHA,charlottehornets,US/Eastern,Southeast,East
Charlotte Hornets,Charlotte,CHA,charlottehornets,US/Eastern,Southeast,East
Utah Jazz,Utah,UTA,utahjazz,US/Mountain,Northwest,West
Phoenix Suns,Phoenix,PHX,suns,America/Phoenix,Pacific,West
Sacramento Kings,Sacramento,SAC,kings,US/Pacific,Pacific,West
Philadelphia 76ers,Philadelphia,PHI,sixers,US/Eastern,Atlantic,East
Cleveland Cavaliers,Cleveland,CLE,clevelandcavs,US/Eastern,Central,East
Atlanta Hawks,Atlanta,ATL,atlantahawks,US/Eastern,Southeast,East
Brooklyn Nets,Brooklyn,BKN,gonets,US/Eastern,Atlantic,East
Indiana Pacers,Indiana,IND,pacers,America/Indiana/Indianapolis,Central,East
Denver Nuggets,Denver,DEN,denvernuggets,US/Mountain,Northwest,West
